Folder,TradingView,Name,Enable
WHSELFINVEST_JAPAN225CFD,WHSELFINVEST:JAPAN225CFD,日経225,1
FOREXCOM_US30,FOREXCOM:US30,ダウ30,1
PEPPERSTONE_US500,PEPPERSTONE:US500,US500,1
FXCM_NAS100,FX:NAS100,NAS100,1
NSE_NIFTY,NSE:NIFTY,NIFTY,1
FXCM_HKG33,FX:HKG33,HKG33,1
NASDAQ_TQQQ,NASDAQ:TQQQ,TQQQ,1
AMEX_SPXL,AMEX:SPXL,SPXL,1
TSE_1458,TSE:1458,1458,1
TSE_1570,TSE:1570,1570,1
TSE_1572,TSE:1572,1572,1
TSE_2040,TSE:2040,2040,1
TSE_2046,TSE:2046,2046,1
BITSTAMP_BTCUSD,BITSTAMP:BTCUSD,BTCUSD,1
COINBASE_ETHUSD,COINBASE:ETHUSD,ETHUSD,1
OANDA_XAUUSD,OANDA:XAUUSD,XAUUSD,1
BINANCE_XRPUSDT,BINANCE:XRPUSDT,XRP,1
AMEX_EWJ,AMEX:EWJ,EWJ,1
AMEX_INDL,AMEX:INDL,INDL,1
AMEX_NUGT,AMEX:NUGT,NUGT,1
OANDA_USDJPY,OANDA:USDJPY,USDJPY,1
BINANCE_BNBUSDT,BINANCE:BNBUSDT,BNB,1
BINANCE_SOLUSDT,BINANCE:SOLUSDT,SOL,1
NASDAQ_COIN,NASDAQ:COIN,COIN,1
NASDAQ_CONL,NASDAQ:CONL,CONL,1
FX_IDC_USDWTI,FX_IDC:USDWTI,USDWTI,1
FX_IDC_INRUSD,FX_IDC:INRUSD,INRUSD,1